GXRA_DTEX_50_1,1.88 ,2.19 ,1.85 ,1.99 ,2.03 ,1.92 ,1.78 ,1.81 ,1.56 ,1.56 ,1.39 ,1.56 ,1.30 ,1.32 ,,,,,,,
GXRA_DTEX_50_2,4.62 ,2.95 ,3.11 ,2.72 ,2.44 ,2.45 ,2.44 ,2.20 ,2.03 ,1.67 ,1.64 ,,,,,,,,,,
GXRA_DTEX_50_3,2.81 ,3.38 ,2.81 ,2.81 ,2.49 ,2.95 ,2.28 ,2.79 ,1.85 ,1.74 ,1.24 ,,,,,,,,,,
GXRA_DTEX_50_4,3.73 ,3.88 ,3.38 ,4.05 ,3.34 ,3.27 ,3.27 ,3.20 ,2.70 ,2.52 ,2.20 ,2.03 ,,,,,,,,,
GXRA_DTEX_50_5,3.95 ,3.77 ,3.73 ,3.59 ,3.41 ,3.38 ,3.41 ,3.16 ,2.88 ,1.78 ,1.24 ,,,,,,,,,,
GXRA_DTEX_50_6,4.84 ,4.52 ,4.59 ,4.44 ,3.77 ,3.48 ,3.06 ,2.49 ,1.96 ,1.78 ,1.17 ,1.07 ,0.89 ,0.82 ,,,,,,,
GXRA_DTEX_50_7,3.77 ,3.98 ,3.84 ,3.59 ,3.27 ,3.09 ,2.10 ,2.84 ,2.38 ,2.13 ,1.88 ,,,,,,,,,,
GXRA_DTEX_50_8,3.41 ,3.38 ,3.77 ,3.59 ,3.63 ,3.38 ,3.06 ,2.88 ,2.20 ,2.10 ,1.92 ,1.65 ,,,,,,,,,
GXRA_DTEX_50_9,2.84 ,2.99 ,3.06 ,3.24 ,3.13 ,3.16 ,2.74 ,2.70 ,2.49 ,2.49 ,2.20 ,2.20 ,1.81 ,1.67 ,1.28 ,,,,,,
GXRA_DTEX_50_10,2.38 ,2.88 ,2.60 ,2.70 ,2.77 ,3.63 ,3.08 ,3.77 ,3.06 ,2.67 ,2.20 ,1.96 ,1.60 ,1.42 ,1.17 ,,,,,,
GXRA_DTEX_50_11,2.49 ,2.95 ,3.45 ,3.24 ,3.24 ,2.88 ,2.88 ,2.70 ,2.70 ,2.10 ,1.96 ,1.64 ,1.49 ,1.00 ,,,,,,,
GXRA_DTEX_50_12,2.99 ,3.24 ,3.38 ,3.31 ,3.31 ,2.92 ,2.52 ,2.35 ,1.81 ,1.88 ,1.32 ,0.96 ,,,,,,,,,
